Public Food Key,Classification,Food Name,"Energy with dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Nitrogen 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Glucose 
(g)",Added sugars (g),"Free sugars 
(g)","Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Available carbohydrate, with sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Copper (Cu) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Sodium (Na) 
(mg)","Zinc (Zn) 
(mg)","Cobalamin (B12) 
(ug)","Folic acid 
(ug)","Vitamin C 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)","Caffeine 
(mg)","Cholesterol 
(mg)"
F008008,23103,"Sauce, hoi sin (hoisin), commercial",922,40.8,1.6,0.29,5.4,10.4,9.9,32.3,32.3,3.7,37.2,37.2,41,0.25,1.6,4.7,14,34,51,"1,550",0.6,0,0,1,0,0.82,0,0
F008026,23103,"Sauce, oyster, commercial",471,63.5,2.8,0.45,1,0.3,1.4,15.5,15.5,5.4,21,21,40,0.36,3,3.9,24,7,210,"3,790",0.9,0,0,0,0,0.16,0,0
F008028,23107,"Sauce, pasta or simmer, commercial, low fat",240,85.5,0.8,0.13,2.9,1.3,1.1,2.1,2.1,3.1,6.6,6.6,9,0,0,0.81,10,20,89,281,0.2,0,0,0,1.65,0.3,0,0
F008029,23103,"Sauce, pasta, basil pesto, commercial","1,598",46.1,5.3,0.85,37.1,1.5,0.8,0.8,0.8,5.3,7.4,7.4,147,0,6,1.41,32,20,232,"1,251",1.09,0.4,0,0,5.38,6.93,0,8
F008031,18701,"Sauce, pasta, bolognese, homemade using beef mince & commercial tomato based sauce",471,76.1,10,1.6,6.2,1.1,1.2,0.7,0.7,0.6,3.9,3.9,16,0.076,2.4,1.3,19,99,310,180,2.2,0.5,0,0,0.4,2,0,26
F008032,18701,"Sauce, pasta, bolognese, homemade using beef mince & homemade tomato based sauce",388,80.2,8.8,1.4,4.5,1.4,1.3,0,0,0.6,3.8,3.8,16,0.12,2.3,1.4,20,87,450,56,1.8,0.3,0,0,0.8,1.47,0,19
F008036,23107,"Sauce, pasta, cheese or cream-based, commercial",363,82.6,1.4,0.22,6.8,0.1,0.2,1.3,1.3,2.6,5.3,5.3,32,0.003,6.2,0,5,21,94,482,0.12,0.1,0,0,0.68,2.77,0,13
F008050,23104,"Sauce, pasta, tomato-based, commercial, heated",226,84.7,1.6,0.25,1.5,1.8,2.3,3.6,3.6,1.2,7.5,7.5,27,0.105,0.9,0.74,15,33,337,375,0.19,0,0,1,1.8,0.17,0,0
F008054,23103,"Sauce, plum, commercial",958,39.9,0.1,0.02,0.8,0.6,23.9,45.2,45.2,8.3,56.5,56.5,15,0.7,0,2.5,24,5,32,950,0.9,0,0,2,0,0.41,0,0
F008055,23107,"Sauce, rogan josh, commercial",295,78.5,1.5,0.24,4.1,1.9,0.9,1.8,1.8,3.1,6.2,6.2,28,0,5.1,1.1,20,19,329,508,0.28,0,0,0,0.9,1.9,0,4
F008056,23104,"Sauce, salsa, tomato-based, commercial",146,89.5,1.3,0.21,0,1.6,2.2,0,0,1.4,6.3,6.3,36,0.1,1,0.61,15,26,270,480,0.17,0,0,8,1,0,0,0
F008062,23107,"Sauce, simmer for chicken, commercial",383,81.6,0.8,0.13,7.5,1.7,1,0.2,0.2,1.5,4.8,4.8,9,0,2,0.62,14,15,54,212,0.18,0,0,0,0.8,0.93,0,0
F008063,23107,"Sauce, simmer, curry flavoured, commercial",494,77.3,2.1,0.34,6.9,2.3,2.5,0,0,3.6,10.7,10.7,31,0.12,4,1.1,21,42,180,510,0.28,0,0,0,0.9,3.12,0,4
F008065,23103,"Sauce, soy, commercial",209,71.5,6.8,1.2,0,0,0.6,1.3,1.3,1,3.2,3.2,21,0.005,5.4,1.3,50,142,299,"5,600",0.51,0,0,0,0,0,0,0
F008067,23103,"Sauce, soy, commercial, reduced salt",162,80.1,5.4,0.94,0,0,0.8,0.9,0.9,1,2.7,2.7,17,0,1.5,2.2,32,89,180,"3,598",0.3,0,0,0,0,0,0,0
F008077,23103,"Sauce, tabasco, commercial",57,95.2,1.3,0.21,0.8,0.6,,0,0,0,0.1,0.1,12,0.075,0.7,1.16,12,23,128,633,0.16,0,0,4,0.01,0.12,0,0
F008083,23104,"Sauce, tomato, commercial",437,69.7,1.3,0.21,0,1.3,4.4,21.5,21.5,0.4,24.1,24.1,13,0.07,4.6,0.65,14,27,292,870,0.15,0,0,0,1,0,0,0
F008085,23104,"Sauce, tomato, commercial, reduced salt",437,70.2,1.3,0.21,0,1.3,4.4,21.5,21.5,0.4,24.1,24.1,12,0.065,3.1,0.62,14,27,270,529,0.14,0,0,0,1,0,0,0
F008090,23108,"Sauce, white, savoury, homemade",748,71.4,3.9,0.63,13.5,0.2,0,0,0,5.7,10.8,10.8,99,0.02,21.3,0.12,12,92,145,130,0.37,0.3,0,0,0.3,9.21,0,30
F008094,23103,"Sauce, Worcestershire, commercial",311,73.3,1.3,0.2,0.2,0,6.3,15.6,15.6,0.7,17.6,17.6,160,0.14,1,3.7,83,23,890,"1,060",0.4,0.1,0,0,0.12,0.04,0,0
F009498,23305,Vinegar (except balsamic vinegar),65,95.5,0,0.01,0,0,,0,0,0,0,0,1,0,0.2,0,1,5,6,5,0,0,0,0,0,0,0,0
F006577,22202,"Peanut butter, smooth & crunchy, added sugar & salt","2,495",1.5,22.2,4.07,49.6,5.8,0,4.8,4.8,5.7,14.3,14.3,54,0.616,10,1.72,190,358,620,477,2.84,0,0,6,8.45,8.75,0,0
F006579,22202,"Peanut butter, smooth & crunchy, no added sugar or salt","2,628",1.5,24.3,4.45,54.3,6.5,,0,0,4.2,9.4,9.4,54,0.616,17.5,1.72,177,358,632,12,2.84,0,0,6,8.45,9.44,0,0
F008783,31102,"Spread, yeast, marmite",624,40.9,13.3,2.33,0.9,11.8,1.3,11.8,11.8,4.8,16.6,16.6,25,0.25,8.8,46.3,71,500,"1,950","3,400",1.8,10,"1,500",0,0,0.14,0,0
F008785,31102,"Spread, yeast, vegemite",683,40.9,24.4,4.23,0.9,6.5,0,0,1.6,9.3,10.9,10.9,68,0.251,8.8,4.03,130,880,"2,122","3,000",4.26,0,"2,354",0,0,0.14,0,0
F002405,19401,"Cheese, blue vein","1,582",41.4,20.9,3.18,32.4,0,0,0,0,0,0,0,510,0.025,23,0.17,24,320,88,"1,090",2.95,1.3,0,0,0.8,20.71,0,100
F002406,19403,"Cheese, bocconcini","1,032",61.9,16.6,2.6,20.2,0,0,0,0,0,0,0,320,0.03,76,0,10,230,13,210,2.2,1.6,0,0,0.9,14.45,0,60
F002407,19405,"Cheese, brie","1,508",46.3,18.6,2.86,31.5,0,0,0,0,0,0,0,460,0.028,23,0.12,20,350,100,580,2.5,1.3,0,0,0.8,20.48,0,93
F002408,19405,"Cheese, camembert","1,223",53.5,18.6,3.2,23.8,0,0,0,0,0,0,0,490,0.028,13,0,19,370,98,570,2.7,1.1,0,0,0.8,15.56,0,93
F002414,19401,"Cheese, cheddar, natural, regular fat","1,689",34.1,24.6,3.86,33.5,0,0,0,0,0,0.3,0.3,760,0.031,25.5,0.12,27,478,73,686,3.47,1.7,0,1,0.58,22.72,0,102
F002413,19402,"Cheese, cheddar, natural, reduced fat (approximately 25%)","1,356",41.7,27.9,4.49,23.4,0,0,0,0,0,0,0,800,0.03,18,0,32,570,110,550,3.9,1.9,0,0,0.4,15.1,0,85
F002412,19402,"Cheese, cheddar, natural, reduced fat (approximately 15%)","1,166",47.1,34.4,4.87,15.3,0,0,0,0,0,0,0,995,0.04,18,0.18,35,590,110,560,3.97,1.9,0,0,0.43,9.87,0,45
F002428,19406,"Cheese, cheddar, processed, regular fat","1,254",48.4,18.2,2.85,23.9,0,0,0,0,0.4,1.9,1.9,588,0.024,24.5,0.21,26,436,125,"1,420",2.85,1,0,0,0.6,16.04,0,68
F002425,19407,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D","1,054",52.5,22.4,3.52,15.4,0,0,0,0,0,4.9,4.9,886,0.034,23,0.31,23,382,170,"1,171",2.76,1.8,0,2,0.35,10.26,0,50
F002435,19403,"Cheese, cottage",556,75.4,17,2.41,5.7,0,0,0,0,0,1.8,1.8,89,0.03,15.3,0.05,8,143,123,277,0.24,0.5,0,0,0.04,3.47,0,22
F002444,19403,"Cheese, cream, plain","1,420",53.3,8.5,1.33,34.2,0,0,0,0,0,0.2,0.2,69,0.013,13,0,6,110,80,320,0.6,0.1,0,0,1.1,22.07,0,110
F002448,19401,"Cheese, edam","1,500",39.9,27.4,4.39,27.2,0,0,0,0,0,0,0,810,0.05,11,0.27,36,575,85,900,4.2,1.9,0,0,0.43,17.22,0,78
F002452,19401,"Cheese, fetta (feta)","1,136",54.8,16.6,2.6,22.3,0,0,0,0,0,0.4,0.4,315,0.024,26.5,0.32,15,260,74,"1,100",1.56,0.9,0,0,0.6,14.16,0,75
F002462,19401,"Cheese, goat, firm","1,502",44.9,18.6,2.92,31.3,0,0,0,0,0,0.8,0.8,334,0.043,61.2,0.05,26,336,116,538,1.25,0,0,0,0.4,20.73,0,134
F002463,19401,"Cheese, goat, soft","1,194",51.2,21.2,3.32,21.7,0,0,0,0,0,0.9,0.9,63,0.033,84.3,0,11,197,127,430,0.31,0,0,0,0.4,14.38,0,93
F002466,19401,"Cheese, haloumi","1,050",51.1,21.3,3.34,17.1,0,0,0,0,0,1.8,1.8,620,0.06,8,0.2,18,510,77,"2,900",3,0.5,0,0,0.6,11.03,0,53
F002472,19401,"Cheese, mozzarella","1,213",47.5,22.2,3.47,22.1,0,0,0,0,0,0,0,685,0.026,28.8,0.06,28,515,79,522,3.12,1,0,0,2.1,14.37,0,71
F002478,19401,"Cheese, parmesan, dried, finely grated","1,949",16.9,40.6,6.36,33.3,0,0,0,0,0,0,0,970,0.04,26,0.46,42,700,80,"1,300",6.5,1.9,0,0,0.43,21.06,0,88
F002479,19401,"Cheese, parmesan, fresh, regular fat","1,565",33.6,32,5.01,27,0,0,0,0,0,0,0,948,0.2,38,0.17,41,648,78,"1,000",3.7,1.8,0,0,1.1,18.73,0,90
F002488,19403,"Cheese, ricotta",665,76.1,10.4,1.63,11.8,0,0,0,0,0,2.7,2.7,170,0.014,19,0,10,120,91,170,0.73,0.2,0,0,0.65,7.73,0,50
F002494,20301,"Cheese, soy",996,67.9,3.8,1.23,23.4,0,,0,0,3.2,3.9,3.9,30,,2.3,2.35,228,222,199,407,1.72,0,0,0,0.6,3.08,0,0
F003270,19301,"Cream, thickened, regular fat (approximately 35%)","1,409",57.9,2,0.32,36.1,0,0,0,0,0,2.4,2.4,60,0.005,11.3,0,6,58,84,27,0.19,0.2,0,0,1.1,23.28,0,110
F003255,19305,"Cream, imitation (non-dairy)","1,108",58.8,1,0.16,21.8,0,3.8,16.2,16.2,1.4,17.7,17.7,17,0,0,0,2,20,24,57,0.14,0,0,0,0,19.34,0,0
F003269,19303,"Cream, sour, regular fat","1,414",60,1.9,0.3,36.3,0,0,0,0,0,2,2,50,0.007,15,0,5,48,74,19,0.18,0.1,0,0,1.1,23.46,0,91
F003267,19304,"Cream, sour, light (approximately 18% fat)",868,70.1,3.6,0.56,19.7,0,0,0,0,0,4.5,4.5,80,0.007,15,0,5,73,74,19,0.18,0.1,0,0,0.62,12.73,0,91
F004508,19501,"Ice cream, vanilla flavour, regular fat",788,61.4,3.7,0.58,10.6,0,0.5,13,13,2.1,20.5,20.5,93,0,22.2,0.1,12,84,142,48,0.23,0,0,0,0,7.16,0,35
F004507,19501,"Ice cream, vanilla flavour, premium or rich (~15% fat)",916,58.8,3.2,0.5,13.5,0,1.2,13.6,13.6,2.8,22.5,22.5,110,0.006,24,0,10,95,150,37,0.33,0.4,0,0,0.3,8.94,0,46
F004419,19505,"Ice confection, stick, milk-based, various flavours",563,68.8,2.9,0.45,5.3,0.2,0.6,12.7,12.7,0,19.8,19.8,88,0.035,18,0.08,14,82,150,40,0.34,0,0,0,0.31,3.58,0,12
F004421,27303,"Ice confection, stick, water-based, various flavours",280,80.2,0.2,0.04,0,0,1.2,17.1,17.1,0,17.1,17.1,2,0,0.8,0.07,0,1,3,6,0.01,0,0,0,0,0,0,0
F004415,27303,"Ice confection, stick or tub, fruit juice or fruit flavoured",306,78.1,0.2,0.04,0.1,0,2.6,17.5,18.7,0,18.7,18.7,3,0,0,0.21,3,2,33,6,0.03,0,0,2,0.1,0,0,0
F005634,19101,"Milk, cow, fluid, regular fat (3.5% fat)",271,88,3.3,0.52,3.4,0,0,0,0,0,5.4,5.4,106,0.005,22.9,0.02,10,87,142,35,0.33,0.4,0,0,0.09,2.31,0,10
F005635,19102,"Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",253,89.2,3.1,0.49,3.2,0,0,0,0,0,5.1,5.1,110,0.051,24,0.44,10,88,200,40,0.12,0.6,0,0,0.09,2.08,0,5
F005614,19103,"Milk, cow, fluid, reduced fat (1% fat)",181,89.7,3.3,0.52,1.2,0,0,0,0,0,4.8,4.8,115,0.005,25.6,0.01,11,92,156,36,0.37,0.2,0,0,0.02,0.85,0,5
F005621,19104,"Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates",213,88.4,4.5,0.71,1.4,0,0,0,0,0,5.1,5.1,110,0.051,24,0.44,11,94,200,40,0.12,0.6,0,0,0.05,0.48,0,5
F005637,19105,"Milk, cow, fluid, skim (0.15% fat)",146,89.4,3.6,0.56,0,0,0,0,0,0,5.3,5.3,115,0.004,18,0,11,96,160,38,0.4,0.8,0,0,0,0,0,3
F005638,19105,"Milk, cow, fluid, skim (0.15% fat), added milk solids",173,87.6,4.2,0.66,0,0,0,0,0,0,6.3,6.3,135,,21.6,0,13,114,193,46,0.46,0.8,0,0,0,0.01,0,3
F005599,19101,"Milk, cow, fluid, lactose free, regular fat (3.5% fat)",249,88.8,3.1,0.49,3.2,0,2.3,0,0,0.2,4.7,4.7,110,0.004,28,0,10,83,150,35,0.38,0.4,0,0,0,2.16,0,11
F005598,19103,"Milk, cow, fluid, lactose free, reduced fat (1% fat)",184,89.8,3.4,0.53,1.2,0.1,2.3,0,0,0.2,5,5,117,0.004,28,0,10,83,150,41,0.38,0.4,0,0,0,0.81,0,5
F005587,19803,"Milk, cow, fluid, flavoured, chocolate, reduced fat",264,85.2,3.3,0.52,1.9,0,0,4.1,4.1,0,8.6,8.6,112,0.026,21.5,0.22,14,95,169,46,0.39,0.2,0,0,0,1.25,1,8
F005581,19106,"Milk, cow, canned, evaporated, regular",588,72,7.5,1.2,8.2,0,0,0,0,0,10,10,256,0.01,53,0.15,24,248,340,104,0.8,0.2,0,1,0,5.23,0,24
F005580,19106,"Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",380,77.9,7.8,1.23,2.1,0,0,0,0,0,10.6,10.6,266,0.005,53,0.3,25,244,348,104,0.9,0.2,0,0,0,1.35,0,10
F005582,19106,"Milk, cow, canned, sweetened, condensed, regular","1,362",25.7,8.3,1.3,9.2,0,0.3,45.8,45.8,0,55,55,268,0.01,36,0.15,25,255,357,106,0.9,0.4,0,1,0.2,6.03,0,31
F005650,19107,"Milk, cow, powder, regular fat, unfortified","2,128",3.3,25.3,3.96,27.3,0,0,0,0,0,43,43,850,,120,0,80,810,"1,300",310,2.3,0.7,0,41,0.9,18.26,0,110
F005649,19107,"Milk, cow, powder, regular fat, added vitamins A & D","2,128",3.3,25.3,3.96,27.3,0,0,0,0,0,43,43,850,,120,0,80,810,"1,300",310,2.3,0.7,0,41,0.9,18.26,0,110
F005652,19107,"Milk, cow, powder, skim","1,519",4.3,34.9,5.47,0.8,0,0,0,0,0,56,56,"1,100",,200,0,110,"1,000","1,800",420,3.3,1.6,0,13,0,0.51,0,29
F005647,32102,"Milk, human/breast, mature, fluid",286,87.5,1.3,0.2,4.2,0,,0,0,0,6.8,6.8,32,,3,0.03,3,14,51,17,0.17,0,0,5,0.08,1.9,0,14
F003442,19602,"Custard, vanilla, regular fat",392,77.8,3.3,0.52,3,0,0,4,4,2.3,13.9,13.9,120,0.01,13,0.05,11,120,165,61,0.39,0.2,0,0,0.03,1.96,0,11
F003426,12103,"Custard powder, vanilla, dry mix","1,414",13.6,0.5,0.09,0.4,0.5,,0,0,81.1,81.5,81.5,8,,0.2,0.72,5,41,16,392,0.05,0,0,0,0.48,0.08,0,0
F003441,19602,"Custard, vanilla, prepared from dry mix",430,78.6,3.6,0.57,3.7,0,,3.8,3.8,4.3,13.9,13.9,115,,23.7,0.06,11,97,155,59,0.36,0.2,0,0,0.1,2.51,0,11
F003488,19701,"Dairy or yoghurt dessert, chocolate, regular fat",533,72.8,5.1,0.8,3.7,1.4,0,10.9,10.9,2,17.7,17.7,120,0.058,13,0.53,16,120,230,59,0.48,0,0,0,0.06,2.34,2,10
F009811,19204,"Yoghurt, flavoured, high fat (approx 5%)",483,74.2,4.4,0.69,4.9,0.6,0.5,7.1,7.1,0.4,12.9,12.9,150,0.009,26,0,13,140,190,47,0.44,0.2,0,0,0.2,3.32,0,20
F009694,19201,"Yoghurt, natural, regular fat (3% fat)",306,81.4,5.1,0.8,3.2,0.1,0,0,0,0.1,5,5,175,0.006,24,0,16,150,230,58,0.57,0.5,0,0,0,2.17,0,15
F009608,19205,"Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",386,77.4,4.2,0.66,3.2,0.1,0.7,6.3,6.3,0,11.1,11.1,110,0,16.7,0.18,14,110,220,65,0.51,0.4,0,0,0,2.03,0,8
F009741,19205,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",405,77.3,4.9,0.73,3.1,0.1,0.7,7,7,0,11.6,11.6,159,0.008,19.6,0.12,15,125,213,60,0.48,0.4,0,0,0,2,0,10
F009749,19205,"Yoghurt, vanilla flavoured, (2% fat)",408,76.4,5,0.78,1.9,0.2,0,7,7,1,14.5,14.5,170,0.007,25,0,15,130,230,52,0.57,0.4,0,0,0,1.28,0,8
F009810,19207,"Yoghurt, flavoured, low fat (approx 2%)",341,77.5,4.6,0.72,1.3,0.3,0.8,5.9,5.9,0.9,12.2,12.2,160,0.008,27,0,14,120,210,60,0.44,0.2,0,0,0,0.89,0,9
F009809,19209,"Yoghurt, flavoured, low fat (0.2%), intense sweetened, increased protein",227,84.4,9.6,1.5,0.3,0.4,1.2,0,0,0.7,2.3,2.3,110,0.013,23,0,10,130,140,35,0.44,0.3,0,0,0,0.2,0,5
F009752,19208,"Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",368,79,5.9,0.91,0.5,0.2,1.8,7.1,7.1,1.2,13.9,13.9,168,0.01,17,0.1,17,146,242,66,0.7,0.4,0,0,0,0.34,0,6
F009824,20106,"Almond beverage, no added sugar, unfortified",65,97.5,0.5,0.1,1.4,0.5,0,0,0,0,0,0,7,0.025,1.1,0,6,14,19,40,0.08,0,0,0,0.5,0.12,0,0
F009826,20106,"Almond beverage, no added sugar, added Ca",65,97.5,0.5,0.1,1.4,0.5,0,0,0,0,0,0,66,0.021,1.1,0,8,16,19,43,0.06,0,0,0,0.5,0.12,0,0
F009825,20106,"Almond beverage, added sugar, unfortified",115,94.5,0.5,0.1,1.4,0.6,0,2.2,2.2,0.8,3,3,3,0.038,1.1,0,5,11,31,53,0.05,0,0,0,0.5,0.12,0,0
F009827,20106,"Almond beverage, added sugar & Ca",115,94.5,0.5,0.1,1.4,0.6,0,2.2,2.2,0.8,3,3,68,0.022,1.1,0,4,40,16,43,0.04,0,0,0,0.5,0.12,0,0
F009828,20106,"Almond beverage, added sugar & vitamins B1, B2 & B12 & Ca",115,94.5,0.5,0.1,1.4,0.6,0,2.2,2.2,0.8,3,3,120,0.026,1.1,0,8,74,19,33,0.07,0.4,0,0,0.5,0.12,0,0
F009812,20106,"Coconut beverage, unfortified",106,97.7,0.2,0.03,1.7,0,0,0,0,1.4,2.4,2.4,1,0.02,1.3,0,4,10,30,47,0.03,0,0,0,0,1.48,0,0
F009813,20106,"Coconut beverage, added Ca",106,97.7,0.2,0.03,1.7,0,0,0,0,1.4,2.4,2.4,90,0.022,1.3,0,4,50,25,17,0.03,0,0,0,0,1.48,0,0
F006132,20106,"Oat beverage, fluid, unfortified",224,86.6,1.3,0.22,0.8,0.3,1.5,0,0,7.1,10.2,10.2,18,0.042,1.2,0,6,26,47,38,0.08,0,0,0,0,0.16,0,0
F006131,20106,"Oat beverage, fluid, added calcium",224,86.6,1.3,0.22,0.8,0.3,1.5,0,0,7.1,10.2,10.2,110,0.042,1.2,0,6,83,47,38,0.08,0,0,0,0,0.16,0,0
F007632,20106,"Rice beverage, fluid, added calcium",255,87.3,0.3,0.05,1,0,0.5,0,0,9,12.7,12.7,70,0.01,5.1,0.2,10,18,22,62,0.07,0,0,0,0.3,0.16,0,0
